评论内容,评分,标题,作者,地区
实在太烂了，上岛之后时钟都不能显示了,1,上岛会把时钟挤没,余季YuJi,US
很多店铺都不能开发票，估计都不是啥正经店，都是小作坊。,1,不能开发票,UID30423,US
窃听用户信息,1,专坑用户的软件,hzghssjajqjjqjsn,US
下单时有个送达时间范围，没有一次能送到的，然后这个预估时间要不断推迟，没下限，平均送达比第一次预估晚一个小时以上，什么垃圾玩意。,1,垃圾，送达时间一再推迟，平均每次晚一小时,ZHUO.QL,US
莫名其妙突然推迟送达时间,1,垃圾,百度产品全球倒数第一,US
每次点开支付就是美团月付，能不能做个人啊，我们这种手速快的老是一不小心就点到这玩意儿,1,美团月付太恶心,mai 兜,US
"The restaurants you order here are fine, but any other function on the app is predatory, lies to you, and tries to take your money without giving it back. As the advertisement supported slot machines, lol. Also racist to foreigners , just like nearly everything else in China.",1,"Good food, but the app itself will scam you",Listen 2 ne,US
能不能给个设置，关闭视频自动播放，或者不要抢占音频？只要商家设置了视频，每次进去商家，耳机都会强制切换到设备上。这么简单的问题一直不解决。饿了么会自动播放，但不会抢占音频。,1,视频自动播放抢占音频,venus0505,US
人在广东，所有位置权限都开了，定位死活要给我定到山西。是不是有病,1,你们定位也太不准了吧,LesleyWong,US
我也错了，所以卸载了吧,1,刘雯道歉了，看来是她错了,MrStock007,US
晚上点个外卖被亮瞎眼！,1,深色模式为什么还不适配？,好的人门,US
赚钱无底线，没良心。,1,资本敛财工具,呆呆手机党,US
rubbish,1,rubbish,eric30001,US
一坨屎,1,卡死了,淦作者family,US
难用,1,难用,Sheng1302,US
明明App store里面显示了当前是最新版。没有需要更新的。 但是打开美团就说版本太低不让使用。 美团你升级不会只推送国内商城吧？ 什么垃圾？,1,美区版本过低不让使用,haoran91,US
你们支付的时候弹nm的极速垃圾支付开通提示。谁tm用nm的垃圾快速支付 傻b东西,1,垃圾整天弹nm的广告,dndnndsnsnsk,US
"App simply doesn’t work. Totally registered, verified my phone, accept all requests from app. Nothing. Why Chinese designed apps so horrible? Bad UI, bad request flows, constant repeating prompts… horrible. Learn a thing or two from 美国 software dev 爸爸…",1,Constantly “No cell reception” while connected to WiFi,hydracloricacid,US
不能实时监控进度，不合理,4,拼好饭为啥不能上灵动岛？,离骚壮歌,US
垃圾美团外卖搞什么配送区间？有的外卖订单配送也没有准时配送的选项。压榨商家，压榨骑手，欺骗消费者！,1,垃圾,LCSome,US
下載下來無法註冊也無法看介面，一直顯示有問題，爛東西,1,無法註冊,喵喵耐息,US
垃圾软件，商品没收到也不退款。客服让我和商家协商退款。,1,商品没收到也没退款,chao6322,US
